type,gene_id,gene_type,gene_name
gene,ENSG00000290825,lncRNA,DDX11L2
gene,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1
gene,ENSG00000227232,unprocessed_pseudogene,WASH7P
gene,ENSG00000278267,miRNA,MIR6859-1
gene,ENSG00000243485,lncRNA,MIR1302-2HG
gene,ENSG00000284332,miRNA,MIR1302-2
gene,ENSG00000237613,lncRNA,FAM138A
gene,ENSG00000268020,unprocessed_pseudogene,OR4G4P
gene,ENSG00000290826,lncRNA,ENSG00000290826
gene,ENSG00000240361,transcribed_unprocessed_pseudogene,OR4G11P
gene,ENSG00000186092,protein_coding,OR4F5
gene,ENSG00000238009,lncRNA,ENSG00000238009
gene,ENSG00000239945,lncRNA,ENSG00000239945
gene,ENSG00000233750,processed_pseudogene,CICP27
gene,ENSG00000268903,processed_pseudogene,ENSG00000268903
gene,ENSG00000269981,processed_pseudogene,ENSG00000269981
gene,ENSG00000239906,lncRNA,ENSG00000239906
gene,ENSG00000241860,lncRNA,ENSG00000241860
gene,ENSG00000222623,snRNA,RNU6-1100P
gene,ENSG00000241599,lncRNA,ENSG00000241599
gene,ENSG00000279928,unprocessed_pseudogene,DDX11L17
gene,ENSG00000279457,unprocessed_pseudogene,WASH9P
gene,ENSG00000273874,miRNA,MIR6859-2
gene,ENSG00000228463,transcribed_processed_pseudogene,ENSG00000228463
gene,ENSG00000286448,lncRNA,ENSG00000286448
gene,ENSG00000236679,processed_pseudogene,RPL23AP24
gene,ENSG00000236601,lncRNA,ENSG00000236601
gene,ENSG00000290385,lncRNA,ENSG00000290385
gene,ENSG00000269732,processed_pseudogene,WBP1LP7
gene,ENSG00000284733,protein_coding,OR4F29
gene,ENSG00000237094,transcribed_unprocessed_pseudogene,ENSG00000237094
gene,ENSG00000233653,processed_pseudogene,CICP7
gene,ENSG00000250575,unprocessed_pseudogene,ENSG00000250575
gene,ENSG00000278757,snRNA,U6
gene,ENSG00000230021,transcribed_processed_pseudogene,ENSG00000230021
gene,ENSG00000235146,lncRNA,ENSG00000235146
gene,ENSG00000225972,unprocessed_pseudogene,MTND1P23
gene,ENSG00000225630,unprocessed_pseudogene,MTND2P28
gene,ENSG00000237973,unprocessed_pseudogene,MTCO1P12
gene,ENSG00000278791,miRNA,ENSG00000278791
gene,ENSG00000229344,unprocessed_pseudogene,MTCO2P12
gene,ENSG00000240409,unprocessed_pseudogene,MTATP8P1
gene,ENSG00000248527,unprocessed_pseudogene,MTATP6P1
gene,ENSG00000198744,unprocessed_pseudogene,MTCO3P12
gene,ENSG00000268663,processed_pseudogene,WBP1LP6
gene,ENSG00000284662,protein_coding,OR4F16
gene,ENSG00000229376,processed_pseudogene,CICP3
gene,ENSG00000291215,lncRNA,ENSG00000291215
gene,ENSG00000223181,snRNA,RNU6-1199P
gene,ENSG00000229905,lncRNA,ENSG00000229905
gene,ENSG00000228327,transcribed_unprocessed_pseudogene,ENSG00000228327
gene,ENSG00000237491,lncRNA,LINC01409
gene,ENSG00000285268,transcribed_processed_pseudogene,ENSG00000285268
gene,ENSG00000290784,lncRNA,ENSG00000290784
gene,ENSG00000230092,transcribed_unprocessed_pseudogene,ENSG00000230092
gene,ENSG00000177757,lncRNA,FAM87B
gene,ENSG00000225880,lncRNA,LINC00115
gene,ENSG00000228794,lncRNA,LINC01128
gene,ENSG00000288531,lncRNA,ENSG00000288531
gene,ENSG00000230368,lncRNA,FAM41C
gene,ENSG00000234711,unprocessed_pseudogene,TUBB8P11
gene,ENSG00000283040,transcribed_unprocessed_pseudogene,ENSG00000283040
gene,ENSG00000272438,lncRNA,ENSG00000272438
gene,ENSG00000230699,lncRNA,ENSG00000230699
gene,ENSG00000241180,lncRNA,ENSG00000241180
gene,ENSG00000223764,lncRNA,LINC02593
gene,ENSG00000187634,protein_coding,SAMD11
gene,ENSG00000188976,protein_coding,NOC2L
gene,ENSG00000187961,protein_coding,KLHL17
gene,ENSG00000187583,protein_coding,PLEKHN1
gene,ENSG00000187642,protein_coding,PERM1
gene,ENSG00000272512,lncRNA,ENSG00000272512
gene,ENSG00000188290,protein_coding,HES4
gene,ENSG00000187608,protein_coding,ISG15
gene,ENSG00000231702,processed_pseudogene,ENSG00000231702
gene,ENSG00000224969,lncRNA,ENSG00000224969
gene,ENSG00000188157,protein_coding,AGRN
gene,ENSG00000242590,lncRNA,ENSG00000242590
gene,ENSG00000291156,lncRNA,ENSG00000291156
gene,ENSG00000273443,lncRNA,ENSG00000273443
gene,ENSG00000217801,transcribed_unprocessed_pseudogene,ENSG00000217801
gene,ENSG00000237330,protein_coding,RNF223
gene,ENSG00000131591,protein_coding,C1orf159
gene,ENSG00000285812,lncRNA,ENSG00000285812
gene,ENSG00000223823,lncRNA,LINC01342
gene,ENSG00000207730,miRNA,MIR200B
gene,ENSG00000207607,miRNA,MIR200A
gene,ENSG00000198976,miRNA,MIR429
gene,ENSG00000272141,lncRNA,ENSG00000272141
gene,ENSG00000205231,lncRNA,TTLL10-AS1
gene,ENSG00000162571,protein_coding,TTLL10
gene,ENSG00000186891,protein_coding,TNFRSF18
gene,ENSG00000186827,protein_coding,TNFRSF4
gene,ENSG00000078808,protein_coding,SDF4
gene,ENSG00000176022,protein_coding,B3GALT6
gene,ENSG00000184163,protein_coding,C1QTNF12
gene,ENSG00000260179,lncRNA,ENSG00000260179
gene,ENSG00000160087,protein_coding,UBE2J2
gene,ENSG00000230415,lncRNA,LINC01786
gene,ENSG00000162572,protein_coding,SCNN1D
gene,ENSG00000131584,protein_coding,ACAP3
gene,ENSG00000278073,miRNA,MIR6726
gene,ENSG00000169972,protein_coding,PUSL1
gene,ENSG00000127054,protein_coding,INTS11
gene,ENSG00000283712,miRNA,MIR6727
gene,ENSG00000240731,lncRNA,ENSG00000240731
gene,ENSG00000224051,protein_coding,CPTP
gene,ENSG00000169962,protein_coding,TAS1R3
gene,ENSG00000107404,protein_coding,DVL1
gene,ENSG00000284372,miRNA,MIR6808
gene,ENSG00000162576,protein_coding,MXRA8
gene,ENSG00000175756,protein_coding,AURKAIP1
gene,ENSG00000223663,processed_pseudogene,NDUFB4P8
gene,ENSG00000221978,protein_coding,CCNL2
gene,ENSG00000224870,lncRNA,MRPL20-AS1
gene,ENSG00000242485,protein_coding,MRPL20
gene,ENSG00000264293,misc_RNA,RN7SL657P
gene,ENSG00000272455,lncRNA,MRPL20-DT
gene,ENSG00000235098,protein_coding,ANKRD65
gene,ENSG00000225905,lncRNA,ANKRD65-AS1
gene,ENSG00000205116,protein_coding,TMEM88B
gene,ENSG00000225285,lncRNA,LINC01770
gene,ENSG00000179403,protein_coding,VWA1
gene,ENSG00000215915,protein_coding,ATAD3C
gene,ENSG00000160072,protein_coding,ATAD3B
gene,ENSG00000290916,lncRNA,ENSG00000290916
gene,ENSG00000284740,transcribed_unprocessed_pseudogene,ENSG00000284740
gene,ENSG00000197785,protein_coding,ATAD3A
gene,ENSG00000205090,protein_coding,TMEM240
gene,ENSG00000160075,protein_coding,SSU72
gene,ENSG00000215014,lncRNA,ENSG00000215014
gene,ENSG00000274481,processed_pseudogene,ENSG00000274481
gene,ENSG00000228594,protein_coding,FNDC10
gene,ENSG00000286989,lncRNA,ENSG00000286989
gene,ENSG00000272106,lncRNA,ENSG00000272106
gene,ENSG00000197530,protein_coding,MIB2
gene,ENSG00000189409,protein_coding,MMP23B
gene,ENSG00000248333,protein_coding,CDK11B
gene,ENSG00000272004,lncRNA,ENSG00000272004
gene,ENSG00000189339,protein_coding,SLC35E2B
gene,ENSG00000269737,transcribed_processed_pseudogene,ENSG00000269737
gene,ENSG00000215914,unprocessed_pseudogene,MMP23A
gene,ENSG00000008128,protein_coding,CDK11A
gene,ENSG00000268575,lncRNA,ENSG00000268575
gene,ENSG00000227775,transcribed_processed_pseudogene,ENSG00000227775
gene,ENSG00000290854,lncRNA,ENSG00000290854
gene,ENSG00000215790,transcribed_unprocessed_pseudogene,SLC35E2A
gene,ENSG00000008130,protein_coding,NADK
gene,ENSG00000078369,protein_coding,GNB1
gene,ENSG00000231050,lncRNA,GNB1-DT
gene,ENSG00000169885,protein_coding,CALML6
gene,ENSG00000178821,protein_coding,TMEM52
gene,ENSG00000142609,protein_coding,CFAP74
gene,ENSG00000233542,lncRNA,ENSG00000233542
gene,ENSG00000187730,protein_coding,GABRD
gene,ENSG00000226969,lncRNA,PRKCZ-DT
gene,ENSG00000067606,protein_coding,PRKCZ
gene,ENSG00000271806,lncRNA,ENSG00000271806
gene,ENSG00000182873,lncRNA,PRKCZ-AS1
gene,ENSG00000162585,protein_coding,FAAP20
gene,ENSG00000234396,lncRNA,ENSG00000234396
gene,ENSG00000157933,protein_coding,SKI
gene,ENSG00000287356,lncRNA,ENSG00000287356
gene,ENSG00000116151,protein_coding,MORN1
gene,ENSG00000272161,lncRNA,ENSG00000272161
gene,ENSG00000269896,transcribed_processed_pseudogene,ENSG00000269896
gene,ENSG00000272420,lncRNA,ENSG00000272420
gene,ENSG00000157916,protein_coding,RER1
gene,ENSG00000157911,protein_coding,PEX10
gene,ENSG00000149527,protein_coding,PLCH2
gene,ENSG00000224387,lncRNA,ENSG00000224387
gene,ENSG00000229393,lncRNA,ENSG00000229393
gene,ENSG00000157881,protein_coding,PANK4
gene,ENSG00000197921,protein_coding,HES5
gene,ENSG00000272449,lncRNA,ENSG00000272449
gene,ENSG00000238164,lncRNA,TNFRSF14-AS1
gene,ENSG00000157873,protein_coding,TNFRSF14
gene,ENSG00000225931,TEC,ENSG00000225931
gene,ENSG00000228037,lncRNA,ENSG00000228037
gene,ENSG00000289610,lncRNA,ENSG00000289610
gene,ENSG00000157870,protein_coding,PRXL2B
gene,ENSG00000142606,protein_coding,MMEL1
gene,ENSG00000237058,lncRNA,MMEL1-AS1
gene,ENSG00000215912,protein_coding,TTC34
gene,ENSG00000285945,lncRNA,ENSG00000285945
gene,ENSG00000283259,lncRNA,ENSG00000283259
gene,ENSG00000233234,lncRNA,ENSG00000233234
gene,ENSG00000287396,lncRNA,ENSG00000287396
gene,ENSG00000231630,lncRNA,ENSG00000231630
gene,ENSG00000284745,lncRNA,ENSG00000284745
gene,ENSG00000169717,protein_coding,ACTRT2
gene,ENSG00000177133,lncRNA,PRDM16-DT
gene,ENSG00000142611,protein_coding,PRDM16
gene,ENSG00000283572,miRNA,MIR4251
gene,ENSG00000226286,lncRNA,ENSG00000226286
gene,ENSG00000279839,TEC,ENSG00000279839
gene,ENSG00000272235,lncRNA,ENSG00000272235
gene,ENSG00000287828,lncRNA,ENSG00000287828
gene,ENSG00000286518,lncRNA,ENSG00000286518
gene,ENSG00000130762,protein_coding,ARHGEF16
gene,ENSG00000272088,lncRNA,ENSG00000272088
gene,ENSG00000162591,protein_coding,MEGF6
gene,ENSG00000207776,miRNA,MIR551A
gene,ENSG00000238260,lncRNA,ENSG00000238260
gene,ENSG00000158109,protein_coding,TPRG1L
gene,ENSG00000116213,protein_coding,WRAP73
gene,ENSG00000078900,protein_coding,TP73
gene,ENSG00000227589,lncRNA,TP73-AS3
gene,ENSG00000235131,lncRNA,TP73-AS2
gene,ENSG00000227372,transcribed_unitary_pseudogene,TP73-AS1
gene,ENSG00000276189,misc_RNA,ENSG00000276189
gene,ENSG00000162592,protein_coding,CCDC27
gene,ENSG00000235169,protein_coding,SMIM1
gene,ENSG00000130764,protein_coding,LRRC47
gene,ENSG00000266075,misc_RNA,RN7SL574P
gene,ENSG00000272153,lncRNA,ENSG00000272153
gene,ENSG00000116198,protein_coding,CEP104
gene,ENSG00000169598,protein_coding,DFFB
gene,ENSG00000198912,protein_coding,C1orf174
gene,ENSG00000236423,lncRNA,LINC01134
gene,ENSG00000233304,lncRNA,LINC01346
gene,ENSG00000226374,lncRNA,LINC01345
gene,ENSG00000284668,lncRNA,LINC02780
gene,ENSG00000284703,lncRNA,ENSG00000284703
gene,ENSG00000229280,processed_pseudogene,EEF1DP6
gene,ENSG00000235054,lncRNA,LINC01777
gene,ENSG00000284694,lncRNA,ENSG00000284694
gene,ENSG00000227169,lncRNA,ENSG00000227169
gene,ENSG00000232596,lncRNA,LINC01646
gene,ENSG00000196581,protein_coding,AJAP1
