gene_id,gene_type,counts,ratio
ENSG00000243398,misc_RNA,11,0.0000%
ENSG00000235020,lncRNA,11,0.0000%
ENSG00000273466,unknow,11,0.0000%
ENSG00000235770,lncRNA,11,0.0000%
ENSG00000230076,processed_pseudogene,11,0.0000%
ENSG00000146722,transcribed_unprocessed_pseudogene,11,0.0000%
ENSG00000268034,processed_pseudogene,11,0.0000%
ENSG00000223249,unknow,11,0.0000%
ENSG00000276508,lncRNA,11,0.0000%
ENSG00000229932,processed_pseudogene,11,0.0000%
ENSG00000206585,snRNA,11,0.0000%
ENSG00000116329,protein_coding,11,0.0000%
ENSG00000199879,snRNA,11,0.0000%
ENSG00000222351,misc_RNA,11,0.0000%
ENSG00000259511,transcribed_unprocessed_pseudogene,11,0.0000%
ENSG00000268756,lncRNA,11,0.0000%
ENSG00000224553,processed_pseudogene,11,0.0000%
ENSG00000185518,protein_coding,11,0.0000%
ENSG00000253954,processed_pseudogene,11,0.0000%
ENSG00000257135,lncRNA,11,0.0000%
ENSG00000280076,unknow,11,0.0000%
ENSG00000279212,TEC,11,0.0000%
ENSG00000267476,lncRNA,11,0.0000%
ENSG00000199085,miRNA,11,0.0000%
ENSG00000257582,lncRNA,11,0.0000%
ENSG00000105383,protein_coding,11,0.0000%
ENSG00000219023,processed_pseudogene,11,0.0000%
ENSG00000236493,processed_pseudogene,11,0.0000%
ENSG00000104894,protein_coding,11,0.0000%
ENSG00000197734,lncRNA,11,0.0000%
ENSG00000235244,lncRNA,11,0.0000%
ENSG00000259665,processed_pseudogene,11,0.0000%
ENSG00000230325,lncRNA,11,0.0000%
ENSG00000268669,unprocessed_pseudogene,11,0.0000%
ENSG00000221618,unknow,11,0.0000%
ENSG00000225200,processed_pseudogene,11,0.0000%
ENSG00000261175,lncRNA,11,0.0000%
ENSG00000144481,protein_coding,11,0.0000%
ENSG00000108785,unprocessed_pseudogene,11,0.0000%
ENSG00000215456,unprocessed_pseudogene,11,0.0000%
ENSG00000250011,processed_pseudogene,11,0.0000%
ENSG00000263596,unknow,11,0.0000%
ENSG00000153253,protein_coding,11,0.0000%
ENSG00000269994,lncRNA,11,0.0000%
ENSG00000213757,processed_pseudogene,11,0.0000%
ENSG00000183775,protein_coding,11,0.0000%
ENSG00000253799,lncRNA,11,0.0000%
ENSG00000280226,unknow,11,0.0000%
ENSG00000275909,unknow,11,0.0000%
ENSG00000238645,snoRNA,11,0.0000%
ENSG00000248568,processed_pseudogene,11,0.0000%
ENSG00000227773,lncRNA,11,0.0000%
ENSG00000244218,misc_RNA,11,0.0000%
ENSG00000235427,lncRNA,11,0.0000%
ENSG00000276663,lncRNA,11,0.0000%
ENSG00000260668,processed_pseudogene,11,0.0000%
ENSG00000223179,snRNA,11,0.0000%
ENSG00000206652,snRNA,11,0.0000%
ENSG00000260156,lncRNA,11,0.0000%
ENSG00000249840,unprocessed_pseudogene,11,0.0000%
ENSG00000263669,misc_RNA,11,0.0000%
ENSG00000260731,processed_pseudogene,11,0.0000%
ENSG00000251211,processed_pseudogene,11,0.0000%
ENSG00000233270,processed_pseudogene,11,0.0000%
ENSG00000249429,lncRNA,11,0.0000%
ENSG00000141052,protein_coding,11,0.0000%
ENSG00000265494,lncRNA,11,0.0000%
ENSG00000225898,processed_pseudogene,11,0.0000%
ENSG00000238516,unknow,11,0.0000%
ENSG00000250258,lncRNA,11,0.0000%
ENSG00000236829,transcribed_processed_pseudogene,11,0.0000%
ENSG00000226674,lncRNA,11,0.0000%
ENSG00000075884,protein_coding,11,0.0000%
ENSG00000230037,processed_pseudogene,11,0.0000%
ENSG00000259895,lncRNA,11,0.0000%
ENSG00000202474,rRNA_pseudogene,11,0.0000%
ENSG00000215093,processed_pseudogene,11,0.0000%
ENSG00000265043,lncRNA,11,0.0000%
ENSG00000205143,protein_coding,11,0.0000%
ENSG00000261617,lncRNA,11,0.0000%
ENSG00000262202,lncRNA,11,0.0000%
ENSG00000220875,processed_pseudogene,11,0.0000%
ENSG00000198521,protein_coding,11,0.0000%
ENSG00000277843,unknow,11,0.0000%
ENSG00000164794,protein_coding,11,0.0000%
ENSG00000263548,unknow,11,0.0000%
ENSG00000121053,protein_coding,11,0.0000%
ENSG00000234118,processed_pseudogene,11,0.0000%
ENSG00000225226,lncRNA,11,0.0000%
ENSG00000224141,lncRNA,11,0.0000%
ENSG00000137449,protein_coding,11,0.0000%
ENSG00000101278,processed_pseudogene,11,0.0000%
ENSG00000206754,snoRNA,11,0.0000%
ENSG00000199023,miRNA,11,0.0000%
ENSG00000176855,processed_pseudogene,11,0.0000%
ENSG00000254892,processed_pseudogene,11,0.0000%
ENSG00000238039,lncRNA,11,0.0000%
ENSG00000250315,transcribed_processed_pseudogene,11,0.0000%
ENSG00000213935,processed_pseudogene,11,0.0000%
ENSG00000274124,lncRNA,11,0.0000%
ENSG00000272472,lncRNA,11,0.0000%
ENSG00000223416,processed_pseudogene,11,0.0000%
ENSG00000267285,lncRNA,11,0.0000%
ENSG00000203593,lncRNA,11,0.0000%
ENSG00000267659,lncRNA,11,0.0000%
ENSG00000224541,lncRNA,11,0.0000%
ENSG00000250497,lncRNA,11,0.0000%
ENSG00000249896,transcribed_unprocessed_pseudogene,11,0.0000%
ENSG00000079841,protein_coding,11,0.0000%
ENSG00000111087,protein_coding,11,0.0000%
ENSG00000255059,processed_pseudogene,11,0.0000%
ENSG00000139239,processed_pseudogene,11,0.0000%
ENSG00000237643,lncRNA,11,0.0000%
ENSG00000265094,lncRNA,11,0.0000%
ENSG00000278376,lncRNA,11,0.0000%
ENSG00000214305,unknow,11,0.0000%
ENSG00000214541,processed_pseudogene,11,0.0000%
ENSG00000154451,protein_coding,11,0.0000%
ENSG00000188985,processed_pseudogene,11,0.0000%
ENSG00000230291,processed_pseudogene,11,0.0000%
ENSG00000232310,lncRNA,11,0.0000%
ENSG00000255362,lncRNA,11,0.0000%
ENSG00000178222,protein_coding,11,0.0000%
ENSG00000252021,unknow,11,0.0000%
ENSG00000279259,TEC,11,0.0000%
ENSG00000200575,snRNA,11,0.0000%
ENSG00000228548,lncRNA,11,0.0000%
ENSG00000277965,unknow,11,0.0000%
ENSG00000277447,processed_pseudogene,11,0.0000%
ENSG00000263820,unknow,11,0.0000%
ENSG00000269981,processed_pseudogene,11,0.0000%
ENSG00000236058,processed_pseudogene,11,0.0000%
ENSG00000255328,lncRNA,11,0.0000%
ENSG00000278919,unknow,11,0.0000%
ENSG00000254884,processed_pseudogene,11,0.0000%
ENSG00000266397,lncRNA,11,0.0000%
ENSG00000219773,processed_pseudogene,11,0.0000%
ENSG00000239920,protein_coding,11,0.0000%
ENSG00000254444,lncRNA,11,0.0000%
ENSG00000214487,unprocessed_pseudogene,11,0.0000%
ENSG00000197016,protein_coding,11,0.0000%
ENSG00000267177,lncRNA,11,0.0000%
ENSG00000250575,unprocessed_pseudogene,11,0.0000%
ENSG00000205592,protein_coding,11,0.0000%
ENSG00000245667,lncRNA,11,0.0000%
ENSG00000236530,processed_pseudogene,11,0.0000%
ENSG00000174236,protein_coding,11,0.0000%
ENSG00000236347,lncRNA,11,0.0000%
ENSG00000207399,snRNA,12,0.0000%
ENSG00000213967,protein_coding,12,0.0000%
ENSG00000189058,protein_coding,12,0.0000%
ENSG00000144158,processed_pseudogene,12,0.0000%
ENSG00000280788,unknow,12,0.0000%
ENSG00000213279,lncRNA,12,0.0000%
ENSG00000251733,scaRNA,12,0.0000%
ENSG00000213970,transcribed_processed_pseudogene,12,0.0000%
ENSG00000260882,processed_pseudogene,12,0.0000%
ENSG00000231965,processed_pseudogene,12,0.0000%
ENSG00000228352,lncRNA,12,0.0000%
ENSG00000241416,processed_pseudogene,12,0.0000%
ENSG00000226465,lncRNA,12,0.0000%
ENSG00000226203,lncRNA,12,0.0000%
ENSG00000253567,lncRNA,12,0.0000%
ENSG00000230572,transcribed_unprocessed_pseudogene,12,0.0000%
ENSG00000263234,lncRNA,12,0.0000%
ENSG00000272183,lncRNA,12,0.0000%
ENSG00000258150,transcribed_unprocessed_pseudogene,12,0.0000%
ENSG00000207704,miRNA,12,0.0000%
ENSG00000254503,processed_pseudogene,12,0.0000%
ENSG00000227195,lncRNA,12,0.0000%
ENSG00000197020,protein_coding,12,0.0000%
ENSG00000152292,protein_coding,12,0.0000%
ENSG00000202111,misc_RNA,12,0.0000%
ENSG00000267064,lncRNA,12,0.0000%
ENSG00000246763,lncRNA,12,0.0000%
ENSG00000147488,protein_coding,12,0.0000%
ENSG00000186367,protein_coding,12,0.0000%
ENSG00000207450,unknow,12,0.0000%
ENSG00000259196,lncRNA,12,0.0000%
ENSG00000256552,transcribed_processed_pseudogene,12,0.0000%
ENSG00000277394,unknow,12,0.0000%
ENSG00000230262,lncRNA,12,0.0000%
ENSG00000279057,TEC,12,0.0000%
ENSG00000200985,rRNA_pseudogene,12,0.0000%
ENSG00000179059,protein_coding,12,0.0000%
ENSG00000166206,protein_coding,12,0.0000%
ENSG00000232187,processed_pseudogene,12,0.0000%
ENSG00000232162,lncRNA,12,0.0000%
ENSG00000214548,lncRNA,12,0.0000%
ENSG00000237993,lncRNA,12,0.0000%
ENSG00000140093,protein_coding,12,0.0000%
ENSG00000127903,protein_coding,12,0.0000%
ENSG00000166770,lncRNA,12,0.0000%
ENSG00000251603,unknow,12,0.0000%
ENSG00000254480,lncRNA,12,0.0000%
ENSG00000215895,processed_pseudogene,12,0.0000%
ENSG00000251411,processed_pseudogene,12,0.0000%
ENSG00000268686,lncRNA,12,0.0000%
ENSG00000242330,misc_RNA,12,0.0000%
ENSG00000225075,lncRNA,12,0.0000%
ENSG00000275874,lncRNA,12,0.0000%
ENSG00000279392,processed_pseudogene,12,0.0000%
ENSG00000237899,lncRNA,12,0.0000%
ENSG00000138136,protein_coding,12,0.0000%
ENSG00000201820,unknow,12,0.0000%
ENSG00000183813,protein_coding,12,0.0000%
ENSG00000214435,protein_coding,12,0.0000%
ENSG00000226054,processed_pseudogene,12,0.0000%
ENSG00000206846,unknow,12,0.0000%
ENSG00000264028,misc_RNA,12,0.0000%
ENSG00000213885,transcribed_processed_pseudogene,12,0.0000%
ENSG00000226842,lncRNA,12,0.0000%
ENSG00000257966,processed_pseudogene,12,0.0000%
ENSG00000219102,processed_pseudogene,12,0.0000%
ENSG00000142065,protein_coding,12,0.0000%
ENSG00000236155,transcribed_unitary_pseudogene,12,0.0000%
ENSG00000250321,processed_pseudogene,12,0.0000%
ENSG00000277250,unknow,12,0.0000%
ENSG00000214535,processed_pseudogene,12,0.0000%
ENSG00000255817,lncRNA,12,0.0000%
ENSG00000281635,unknow,12,0.0000%
ENSG00000228053,processed_pseudogene,12,0.0000%
ENSG00000275557,lncRNA,12,0.0000%
ENSG00000231468,processed_pseudogene,12,0.0000%
ENSG00000227070,lncRNA,12,0.0000%
ENSG00000257452,lncRNA,12,0.0000%
ENSG00000229567,processed_pseudogene,12,0.0000%
ENSG00000250122,lncRNA,12,0.0000%
ENSG00000261544,lncRNA,12,0.0000%
ENSG00000222743,snRNA,12,0.0000%
ENSG00000242641,lncRNA,12,0.0000%
ENSG00000113361,protein_coding,12,0.0000%
ENSG00000259519,lncRNA,12,0.0000%
ENSG00000259838,unprocessed_pseudogene,12,0.0000%
ENSG00000246394,lncRNA,12,0.0000%
ENSG00000223576,lncRNA,12,0.0000%
ENSG00000124440,protein_coding,12,0.0000%
ENSG00000236611,lncRNA,12,0.0000%
ENSG00000258780,unprocessed_pseudogene,12,0.0000%
ENSG00000224644,lncRNA,12,0.0000%
ENSG00000227939,processed_pseudogene,12,0.0000%
ENSG00000279532,TEC,12,0.0000%
ENSG00000239246,processed_pseudogene,12,0.0000%
ENSG00000217889,processed_pseudogene,12,0.0000%
ENSG00000198692,protein_coding,12,0.0000%
ENSG00000216359,processed_pseudogene,12,0.0000%
ENSG00000200522,snRNA,12,0.0000%
ENSG00000225541,unknow,12,0.0000%
ENSG00000272831,lncRNA,12,0.0000%
ENSG00000262227,lncRNA,12,0.0000%
ENSG00000199347,snRNA,12,0.0000%
ENSG00000265489,lncRNA,12,0.0000%
ENSG00000228725,unprocessed_pseudogene,12,0.0000%
ENSG00000220161,lncRNA,12,0.0000%
ENSG00000230021,transcribed_processed_pseudogene,12,0.0000%
ENSG00000204118,transcribed_processed_pseudogene,12,0.0000%
