type,gene_id,gene_type,gene_name,gene_start,gene_end
gene,ENSG00000290825,lncRNA,DDX11L2,11869,14409
gene,ENSG00000278267,miRNA,MIR6859-1,17369,17436
gene,ENSG00000243485,lncRNA,MIR1302-2HG,29554,31109
gene,ENSG00000284332,miRNA,MIR1302-2,30366,30503
gene,ENSG00000237613,lncRNA,FAM138A,34554,36081
gene,ENSG00000290826,lncRNA,ENSG00000290826,57598,64116
gene,ENSG00000186092,protein_coding,OR4F5,65419,71585
gene,ENSG00000238009,lncRNA,ENSG00000238009,89295,133723
gene,ENSG00000239945,lncRNA,ENSG00000239945,89551,91105
gene,ENSG00000239906,lncRNA,ENSG00000239906,139790,140339
gene,ENSG00000241860,lncRNA,ENSG00000241860,141474,173862
gene,ENSG00000222623,snRNA,RNU6-1100P,157784,157887
gene,ENSG00000241599,lncRNA,ENSG00000241599,160446,161525
gene,ENSG00000273874,miRNA,MIR6859-2,187891,187958
gene,ENSG00000286448,lncRNA,ENSG00000286448,266855,268655
gene,ENSG00000236601,lncRNA,ENSG00000236601,358857,366052
gene,ENSG00000290385,lncRNA,ENSG00000290385,365389,522928
gene,ENSG00000284733,protein_coding,OR4F29,450740,451678
gene,ENSG00000278757,snRNA,U6,90796,247607201
gene,ENSG00000235146,lncRNA,ENSG00000235146,587629,594768
gene,ENSG00000278791,miRNA,ENSG00000278791,632325,632413
gene,ENSG00000284662,protein_coding,OR4F16,685716,686654
gene,ENSG00000291215,lncRNA,ENSG00000291215,725885,778688
gene,ENSG00000223181,snRNA,RNU6-1199P,758233,758336
gene,ENSG00000229905,lncRNA,ENSG00000229905,760911,761989
gene,ENSG00000237491,lncRNA,LINC01409,778747,810065
gene,ENSG00000290784,lncRNA,ENSG00000290784,800879,817712
gene,ENSG00000177757,lncRNA,FAM87B,817371,819837
gene,ENSG00000225880,lncRNA,LINC00115,824228,827539
gene,ENSG00000228794,lncRNA,LINC01128,825138,859446
gene,ENSG00000288531,lncRNA,ENSG00000288531,860226,868202
gene,ENSG00000230368,lncRNA,FAM41C,868071,876903
gene,ENSG00000272438,lncRNA,ENSG00000272438,904834,915976
gene,ENSG00000230699,lncRNA,ENSG00000230699,911435,914948
